industry,sub_industry,skills,growth_skills,skills_professionals,job_posts_skills
IT,CaaS,Storage,0.00%,68,0
IT,CaaS,Competitive Analysis,0.00%,61,0
IT,CaaS,VMware,0.00%,55,0
IT,CaaS,Banking,0.00%,54,0
IT,CaaS,Disaster Recovery,0.00%,49,0
IT,CaaS,Routing,0.00%,44,0
IT,CaaS,Internet Protocol Suite (TCP/IP),0.00%,44,0
IT,CaaS,Financial Services,0.00%,44,0
IT,CaaS,Finance,0.00%,44,0
IT,CaaS,Business Process,0.00%,43,0
IT,CaaS,Enterprise Architecture,0.00%,42,0
IT,Cybersecurity,Go-to-market Strategy,-0.002,846,1
IT,Cybersecurity,Program Management,-0.003,1148,8
IT,Cybersecurity,Business Process,-0.007,600,9
IT,Cybersecurity,Firewalls,-0.007,520,28
IT,Cybersecurity,Voice over IP (VoIP),-0.01,1577,0
IT,Cybersecurity,Unified Communications,-0.01,800,4
IT,Cybersecurity,Cisco Systems Products,-0.01,1211,15
IT,Cybersecurity,Business Planning,-0.012,743,6
IT,Cybersecurity,Outsourcing,-0.013,666,0
IT,Cybersecurity,Service Delivery,-0.015,816,14
IT,Cybersecurity,LTE,-0.016,883,12
IT,Cybersecurity,Vendor Management,-0.016,1995,18
IT,Cybersecurity,Ethernet,-0.017,539,2
IT,Cybersecurity,Switches,-0.019,735,10
IT,Cybersecurity,3G,-0.02,961,0
IT,Cybersecurity,Multiprotocol Label Switching (MPLS),-0.021,857,9
IT,Cybersecurity,Internet Protocol (IP),-0.022,2111,15
IT,Cybersecurity,Value-Added Services (VAS),-0.022,626,0
IT,Cybersecurity,GSM,-0.023,1213,0
IT,Cybersecurity,Mobile Devices,-0.023,1907,3
IT,Cybersecurity,Wireless Technologies,-0.024,2170,9
IT,Cybersecurity,Data Center,-0.024,1368,29
IT,Cybersecurity,Requirements Analysis,-0.03,654,1
IT,Cybersecurity,Pre-sales,-0.031,2406,21
IT,Cybersecurity,Network Design,-0.033,1083,9
IT,Cybersecurity,Enterprise Software,-0.035,550,3
IT,Cybersecurity,Managed Services,-0.039,1777,13
IT,Cybersecurity,Unix,-0.045,619,6
IT,Cybersecurity,ITIL,-0.046,940,14
IT,Cybersecurity,Solution Architecture,-0.05,1029,26
IT,CaaS,Engineering,,87,0
IT,CaaS,Manufacturing,,62,0
